,Produto,Preço de venda do fornecedor prio (concorrente),Quantidade,Total investido por produto
ELETRÔNICOS EM ESTOQUE,,,,
Já em estoque,Alexa - EchoDot 5º Geração,R$ 420.00,12,"R$ 5,040.00"
,Fone JBL,R$ 300.00,27,"R$ 8,100.00"
,Fone Wave Buds JBL,R$ 300.00,14,"R$ 4,200.00"
,JBL Wavebuds Intra,R$ 233.00,11,"R$ 2,562.98"
,Kindle 11ª geração,R$ 450.00,6,"R$ 2,700.00"
,Máquina de café Vertuo Pop nespresso brancas,R$ 500.00,6,"R$ 2,999.99"
,Máquina de café Vertuo Pop nespresso pretas,R$ 500.00,8,"R$ 3,999.98"
,Caixa de som JBL Flip 6,R$ 800.00,12,"R$ 9,599.98"
,Robô aspirador eletrônico,R$ 510.00,4,"R$ 2,040.00"
,Câmera Polaroid - Instax Mini 11,R$ 390.00,10,"R$ 3,900.00"
ELETRÔNICOS PARA COMPRA,,,,
Eletronicos,Airpods,"R$ 1,499.00",25,"R$ 37,474.95"
,Alexa - EchoDot 5º Geração,R$ 420.00,18,"R$ 7,560.00"
,Apple WATCH S9 7 preta,"R$ 3,499.00",7,"R$ 24,492.97"
,Apple WATCH S9  8 branca,"R$ 3,499.00",8,"R$ 27,991.97"
,Caixa de som JBL pequena portatil,R$ 883.50,20,"R$ 17,670.00"
,Caixa de som JBL Flip 6,R$ 800.00,17,"R$ 13,599.97"
,Caixa de som JBL Xtreme 3,"R$ 1,600.00",5,"R$ 7,999.98"
,Câmera Polaroid - Instax Mini 11,R$ 390.00,20,"R$ 7,800.00"
,Garmin Forerunner 165 (8 PARA BLACK + 2 DESAFIO WELLNESS),"R$ 3,058.50",8,"R$ 24,468.00"
,Playstation 5,"R$ 4,200.00",3,"R$ 12,600.00"
,Fone de Ouvido Bluetooth com Microfone e Cancelamento de Ruído Ativo,"R$ 1,677.00",8,"R$ 13,416.00"
,Fone de ouvido JBL com condução óssea,R$ 877.50,15,"R$ 13,162.50"
,"Geonav Power Bank, Carregador Portátil - Cor Cinza espacial 20.000mAh, USBA (até 18W) + USB-C (até 20W)",R$ 240.00,15,"R$ 3,600.00"
,Tablet Samsung Galaxy Tab S6 Lite 64gb 4gb Ram Wifi  com caneta - Cor Cinza,"R$ 2,671.65",1,"R$ 2,671.65"
,Robô aspirador eletrônico Eletrolux 2h20min,R$ 712.50,11,"R$ 7,837.50"
,Smart display com Alexa,"R$ 1,323.00",10,"R$ 13,230.00"
Videogame,"Controle Sony Dualsense Sem Fio PlayStation 5 com Bluetooth, alto-falante e microfone integrado Cor Branco",R$ 562.50,8,"R$ 4,500.00"
,Controle Sem Fio Microsoft Xbox Wireless Series X|s Cor Carbon black,R$ 540.00,8,"R$ 4,320.00"
,Nintendo Switch Oled 64gb Standard Com Joy-con Branco,"R$ 3,103.50",4,"R$ 12,414.00"
Geral,Chaleira Elétrica Térmica Ce-06 Pratic Inox 2 Litros Mondial Cor Preto e Inox 127V,R$ 166.50,5,R$ 832.50
,Almofada Massageadora Shiatsu Dellamed preta,R$ 400.00,5,"R$ 2,000.00"
,Balança Digital Xiaomi C/ Bioimpedância Scale 2 - Original,R$ 295.42,20,"R$ 5,908.40"
,Kindle Paperwhite,"R$ 1,078.65",15,"R$ 16,179.75"
,Pipoqueira Mondial PopFlix PP-03 - Vermelha - 110V,R$ 214.60,30,"R$ 6,438.00"
,LAMPADA WI-FI INTELIGENTE TP-LINK TAPO L530E WI-FI COM AJUSTE DE COR BIVOLT,R$ 71.00,40,"R$ 2,840.00"
CAFÉS E ESPORTE,,,,
Café,Maquina de café Vertuo Aço inoxidável Nespresso,"R$ 2,999.00",3,"R$ 8,997.00"
,Máquina Vertuo Pop brancas,R$ 500.00,15,"R$ 7,500.00"
,Máquina Vertuo Pop pretas,R$ 500.00,15,"R$ 7,500.00"
,Máquina Vertuo Next  vermelhas,R$ 500.00,10,"R$ 5,000.00"
,Máquina Vertuo Next pretas,R$ 500.00,10,"R$ 5,000.00"
,Máquina Vertuo Lattissima pretas,"R$ 1,800.00",10,"R$ 18,000.00"
,Caneca térmica Nespresso laranja média,R$ 145.00,20,"R$ 2,900.00"
,Porta-Cápsulas Drawer,R$ 280.00,5,"R$ 1,400.00"
,Xícaras LUME Lungo (kit com 2 xicaras e 2 medidores),R$ 180.00,10,"R$ 1,800.00"
,Máquina de espuma de leite,R$ 480.00,35,"R$ 16,800.00"
,"Xícaras Double Espresso Vertuo (kit com 2 xicaras, 2 pires e 2 medidores)",R$ 190.00,10,"R$ 1,900.00"
,Porta-Cápsulas Vertical,R$ 190.00,5,R$ 950.00
Esporte,Mochila de hidratação Track&Field,R$ 399.90,10,"R$ 3,999.00"
,Mochila brinde,,,R$ 0.00
VOUCHERS,,,,
